year,month,url
2003,7,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2003/vra_do_mes_2003_07.zip
2003,8,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2003/vra_do_mes_2003_08.zip
2003,9,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2003/vra_do_mes_2003_09.zip
2003,10,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2003/vra_do_mes_2003_10.zip
2003,11,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2003/vra_do_mes_2003_11.zip
2003,12,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2003/vra_do_mes_2003_12.zip
2002,1,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2002/vra_do_mes_2002_01.zip
2002,2,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2002/vra_do_mes_2002_02.zip
2002,3,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2002/vra_do_mes_2002_03.zip
2002,4,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2002/vra_do_mes_2002_04.zip
2002,5,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2002/vra_do_mes_2002_05.zip
2002,6,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2002/vra_do_mes_2002_06.zip
2002,7,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2002/vra_do_mes_2002_07.zip
2002,8,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2002/vra_do_mes_2002_08.zip
2002,9,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2002/vra_do_mes_2002_09.zip
2002,10,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2002/vra_do_mes_2002_10.zip
2002,11,https://www.anac.gov.br/assuntos/dados-e-estatisticas/base-historica-1/vra/2002/vra_do_mes_2002_11.zip
